"Bloque","Metodo","Accuracy","Macro_F1"
31,"SVM_POLY3",0.99009900990099,0.987789987789988
1,"LDA",0.99009900990099,0.987789987789988
2,"LDA",0.96039603960396,0.950419527078566
3,"LDA",0.98019801980198,0.975925925925926
4,"LDA",0.99009900990099,0.988124600347127
5,"LDA",0.98019801980198,0.975925925925926
6,"LDA",0.99009900990099,0.987789987789988
7,"LDA",0.99009900990099,0.987789987789988
8,"LDA",1,1
9,"LDA",0.98019801980198,0.975925925925926
10,"LDA",1,1
12,"LDA",0.99009900990099,0.987789987789988
13,"LDA",0.99009900990099,0.988124600347127
14,"LDA",0.99009900990099,0.987789987789988
15,"LDA",0.98019801980198,0.975925925925926
16,"LDA",0.98019801980198,0.975925925925926
17,"LDA",0.99009900990099,0.987789987789988
18,"LDA",0.99009900990099,0.987789987789988
19,"LDA",0.99009900990099,0.987789987789988
20,"LDA",0.99009900990099,0.988124600347127
21,"LDA",1,1
22,"LDA",0.97029702970297,0.963369963369963
23,"LDA",0.99009900990099,0.987789987789988
24,"LDA",0.99009900990099,0.987789987789988
25,"LDA",0.97029702970297,0.963369963369963
26,"LDA",0.97029702970297,0.963369963369963
27,"LDA",0.99009900990099,0.987789987789988
28,"LDA",0.99009900990099,0.987789987789988
29,"LDA",0.97029702970297,0.96222028480093
30,"LDA",0.98019801980198,0.975925925925926
31,"LDA",0.98019801980198,0.975925925925926
1,"QDA",0.99009900990099,0.987789987789988
2,"QDA",0.96039603960396,0.950419527078566
3,"QDA",0.98019801980198,0.975209763539283
4,"QDA",0.98019801980198,0.975925925925926
5,"QDA",0.98019801980198,0.975925925925926
6,"QDA",0.99009900990099,0.987789987789988
7,"QDA",0.98019801980198,0.976551226551227
8,"QDA",0.99009900990099,0.988124600347127
9,"QDA",0.98019801980198,0.975925925925926
10,"QDA",1,1
12,"QDA",0.99009900990099,0.987789987789988
13,"QDA",0.99009900990099,0.988124600347127
14,"QDA",0.98019801980198,0.975209763539283
15,"QDA",0.98019801980198,0.975925925925926
16,"QDA",0.98019801980198,0.975925925925926
17,"QDA",0.99009900990099,0.987789987789988
18,"QDA",0.99009900990099,0.987789987789988
19,"QDA",0.99009900990099,0.987789987789988
20,"QDA",0.99009900990099,0.988124600347127
21,"QDA",1,1
22,"QDA",0.99009900990099,0.988124600347127
23,"QDA",0.99009900990099,0.987789987789988
24,"QDA",0.99009900990099,0.987789987789988
25,"QDA",0.98019801980198,0.975925925925926
26,"QDA",0.97029702970297,0.963369963369963
27,"QDA",0.99009900990099,0.987789987789988
28,"QDA",0.99009900990099,0.987789987789988
29,"QDA",0.97029702970297,0.96222028480093
30,"QDA",0.99009900990099,0.988124600347127
31,"QDA",0.98019801980198,0.975925925925926
