"Bloque","Accuracy","Metodo"
8,0.752173913043478,"SVM_RBF"
9,0.730434782608696,"SVM_RBF"
10,0.791304347826087,"SVM_RBF"
11,0.734782608695652,"SVM_RBF"
12,0.682608695652174,"SVM_RBF"
13,0.760869565217391,"SVM_RBF"
14,0.778260869565217,"SVM_RBF"
15,0.8,"SVM_RBF"
16,0.756521739130435,"SVM_RBF"
17,0.726086956521739,"SVM_RBF"
18,0.760869565217391,"SVM_RBF"
19,0.769565217391304,"SVM_RBF"
20,0.739130434782609,"SVM_RBF"
21,0.752173913043478,"SVM_RBF"
22,0.782608695652174,"SVM_RBF"
23,0.773913043478261,"SVM_RBF"
24,0.743478260869565,"SVM_RBF"
25,0.743478260869565,"SVM_RBF"
26,0.734782608695652,"SVM_RBF"
27,0.778260869565217,"SVM_RBF"
28,0.791304347826087,"SVM_RBF"
29,0.747826086956522,"SVM_RBF"
30,0.782608695652174,"SVM_RBF"
31,0.721739130434783,"SVM_RBF"
32,0.747826086956522,"SVM_RBF"
33,0.756521739130435,"SVM_RBF"
1,0.734782608695652,"SVM_POLY2"
2,0.739130434782609,"SVM_POLY2"
3,0.734782608695652,"SVM_POLY2"
4,0.747826086956522,"SVM_POLY2"
5,0.756521739130435,"SVM_POLY2"
6,0.756521739130435,"SVM_POLY2"
7,0.756521739130435,"SVM_POLY2"
8,0.747826086956522,"SVM_POLY2"
9,0.71304347826087,"SVM_POLY2"
10,0.78695652173913,"SVM_POLY2"
11,0.739130434782609,"SVM_POLY2"
12,0.721739130434783,"SVM_POLY2"
13,0.756521739130435,"SVM_POLY2"
14,0.778260869565217,"SVM_POLY2"
15,0.804347826086957,"SVM_POLY2"
16,0.760869565217391,"SVM_POLY2"
17,0.747826086956522,"SVM_POLY2"
18,0.778260869565217,"SVM_POLY2"
19,0.756521739130435,"SVM_POLY2"
20,0.752173913043478,"SVM_POLY2"
21,0.765217391304348,"SVM_POLY2"
22,0.778260869565217,"SVM_POLY2"
23,0.756521739130435,"SVM_POLY2"
24,0.756521739130435,"SVM_POLY2"
25,0.739130434782609,"SVM_POLY2"
26,0.734782608695652,"SVM_POLY2"
27,0.769565217391304,"SVM_POLY2"
28,0.8,"SVM_POLY2"
29,0.730434782608696,"SVM_POLY2"
30,0.778260869565217,"SVM_POLY2"
31,0.760869565217391,"SVM_POLY2"
32,0.747826086956522,"SVM_POLY2"
33,0.765217391304348,"SVM_POLY2"
1,0.756521739130435,"SVM_POLY3"
2,0.734782608695652,"SVM_POLY3"
3,0.747826086956522,"SVM_POLY3"
4,0.739130434782609,"SVM_POLY3"
5,0.773913043478261,"SVM_POLY3"
6,0.743478260869565,"SVM_POLY3"
7,0.769565217391304,"SVM_POLY3"
8,0.752173913043478,"SVM_POLY3"
9,0.730434782608696,"SVM_POLY3"
10,0.782608695652174,"SVM_POLY3"
11,0.743478260869565,"SVM_POLY3"
12,0.717391304347826,"SVM_POLY3"
13,0.747826086956522,"SVM_POLY3"
14,0.778260869565217,"SVM_POLY3"
15,0.8,"SVM_POLY3"
16,0.760869565217391,"SVM_POLY3"
17,0.747826086956522,"SVM_POLY3"
18,0.765217391304348,"SVM_POLY3"
19,0.752173913043478,"SVM_POLY3"
20,0.747826086956522,"SVM_POLY3"
21,0.769565217391304,"SVM_POLY3"
22,0.782608695652174,"SVM_POLY3"
23,0.778260869565217,"SVM_POLY3"
24,0.726086956521739,"SVM_POLY3"
25,0.756521739130435,"SVM_POLY3"
26,0.743478260869565,"SVM_POLY3"
27,0.773913043478261,"SVM_POLY3"
28,0.78695652173913,"SVM_POLY3"
29,0.743478260869565,"SVM_POLY3"
30,0.769565217391304,"SVM_POLY3"
31,0.78695652173913,"SVM_POLY3"
32,0.747826086956522,"SVM_POLY3"
33,0.743478260869565,"SVM_POLY3"
1,0.756521739130435,"LDA"
2,0.734782608695652,"LDA"
3,0.739130434782609,"LDA"
4,0.756521739130435,"LDA"
5,0.8,"LDA"
6,0.752173913043478,"LDA"
7,0.773913043478261,"LDA"
8,0.760869565217391,"LDA"
9,0.747826086956522,"LDA"
10,0.8,"LDA"
11,0.734782608695652,"LDA"
12,0.708695652173913,"LDA"
13,0.769565217391304,"LDA"
14,0.782608695652174,"LDA"
15,0.817391304347826,"LDA"
16,0.752173913043478,"LDA"
17,0.752173913043478,"LDA"
18,0.760869565217391,"LDA"
19,0.769565217391304,"LDA"
20,0.756521739130435,"LDA"
21,0.752173913043478,"LDA"
22,0.778260869565217,"LDA"
23,0.765217391304348,"LDA"
24,0.760869565217391,"LDA"
25,0.739130434782609,"LDA"
26,0.739130434782609,"LDA"
27,0.769565217391304,"LDA"
28,0.791304347826087,"LDA"
29,0.752173913043478,"LDA"
30,0.769565217391304,"LDA"
31,0.78695652173913,"LDA"
32,0.743478260869565,"LDA"
33,0.782608695652174,"LDA"
1,0.717391304347826,"QDA"
2,0.747826086956522,"QDA"
3,0.726086956521739,"QDA"
4,0.756521739130435,"QDA"
5,0.778260869565217,"QDA"
6,0.730434782608696,"QDA"
7,0.743478260869565,"QDA"
8,0.7,"QDA"
9,0.760869565217391,"QDA"
10,0.778260869565217,"QDA"
11,0.730434782608696,"QDA"
12,0.673913043478261,"QDA"
